system,config,simInsts/Ops,cycles,simSeconds,hostSeconds,IPC,CPI,L1I_accesses,L1I_misses,L1I_MPKI,L1D_accesses,L1D_misses,L1D_MPKI,L1_total_MPKI,L2_accesses,L2_misses,L2_MPKI
classic,classic_l2_128kB,31414193,66558909,0.022164,40.38,0.471976,2.118751,42238379,890,0.02833,10374598,300714,9.5726,9.6009,448654,71847,2.2871
classic,classic_l2_1MB,31414313,57380752,0.019108,38.92,0.547472,1.826579,42238539,894,0.0285,10374648,299420,9.5313,9.5598,448659,5778,0.1839
classic,classic_l2_256kB,31414195,66336000,0.02209,39.95,0.473562,2.111655,42238382,890,0.0283,10374598,300782,9.5747,9.6030,448653,72342,2.3028
classic,classic_l2_512kB,31414319,58694988,0.019545,38.83,0.535213,1.868414,42238551,895,0.0285,10374648,300284,9.5588,9.5873,448657,17724,0.5642
classic,classic_l2_a16,31414195,66336000,0.02209,39.91,0.473562,2.111655,42238382,890,0.0283,10374598,300782,9.5747,9.6030,448653,72342,2.3028
classic,classic_l2_a32,31414182,66370813,0.022101,39.72,0.473314,2.112764,42238359,886,0.0282,10374596,300805,9.5755,9.6037,448650,72412,2.3051
classic,classic_l2_a8,31414198,66323104,0.022086,39.8,0.473654,2.111245,42238384,890,0.0283,10374602,300794,9.5751,9.6034,448653,73128,2.3279
ruby,ruby_l2_128kB,31414200,144407596,0.048088,87.02,0.217539,4.596886,42238387,1307,0.0416,10374742,460988,14.6745,14.7161,462295,203930,6.4917
ruby,ruby_l2_1MB,31414193,113682826,0.037856,80.65,0.276332,3.618834,42238385,909,0.0289,10374737,459570,14.6294,14.6583,460479,9609,0.3059
ruby,ruby_l2_256kB,31414218,141769416,0.047209,90.85,0.221587,4.512903,42238415,1195,0.038,10374748,460104,14.6463,14.6844,461299,183835,5.8520
ruby,ruby_l2_512kB,31414188,115821273,0.038568,84.51,0.27123,3.686907,42238375,1105,0.0352,10374737,459596,14.6302,14.6654,460701,22636,0.7206
ruby,ruby_l2_a16,31414218,141769416,0.047209,84.44,0.221587,4.512903,42238415,1195,0.038,10374748,460104,14.6463,14.6844,461299,183835,5.8520
ruby,ruby_l2_a32,31414216,141891291,0.04725,83.28,0.221397,4.516783,42238412,1186,0.0378,10374748,460078,14.6455,14.6833,461264,184854,5.8844
ruby,ruby_l2_a8,31414184,141484984,0.047114,85.5,0.222032,4.503853,42238368,1185,0.0377,10374735,460135,14.6474,14.6851,461320,181952,5.792
